word,old_score,new_score
ERA,609,11129
ONE,489,8205
ETA,444,8181
ALE,456,8176
ORE,474,8017
ATE,460,7859
ERE,497,7781
ELI,477,7752
AREA,519,7675
ODE,394,7536
ARE,419,7115
ALA,403,7029
ALI,430,7017
OLE,420,6911
ERR,415,6852
SPA,370,6630
IRE,394,6447
ELSE,371,6447
ADO,381,6423
EEL,384,6379
ACE,372,6329
EAR,377,6327
ERIE,424,6081
IRA,360,6031
ARIA,380,5956
ART,307,5865
AGE,329,5822
EDEN,376,5821
END,351,5674
ASS,301,5673
ANTE,371,5666
ALOE,401,5557
ANA,294,5521
TEE,305,5455
AHA,301,5454
ASH,362,5416
SEE,328,5331
OREO,323,5301
EAT,323,5291
TEA,297,5273
ECO,280,5253
APE,337,5221
EVE,312,5145
ESS,373,5142
EGO,308,5128
NEE,347,5105
ICE,307,5033
LIE,258,5029
SET,279,5024
IDO,266,5018
NET,304,5004
USE,270,4998
TEN,297,4913
TAR,293,4906
SEA,290,4879
ANT,312,4804
ENE,367,4755
ANTI,300,4737
LEE,290,4535
EPA,252,4512
YES,267,4508
OSLO,262,4506
IDEA,315,4505
ARI,294,4475
ESP,272,4447
EWE,240,4436
EST,334,4433
ANN,244,4376
SHE,278,4361
EMO,182,4352
LEO,214,4338
ELS,279,4257
LEI,253,4236
ONO,245,4225
NEO,257,4208
ISEE,291,4188
RIO,255,4188
ADS,255,4178
RNA,250,4177
ALAS,268,4173
OAT,238,4138
ACT,236,4118
ASIA,285,4080
NOR,263,4075
SNL,191,4056
STY,251,4046
ASAP,234,3984
ENDS,250,3972
EMU,228,3971
AIR,248,3942
OIL,224,3921
ESE,336,3917
TREE,260,3889
OAR,259,3831
ISLE,254,3820
ACRE,269,3806
TSAR,272,3781
LEA,229,3739
LET,229,3735
ETNA,269,3725
RAN,235,3723
OGRE,210,3719
ALL,245,3717
ENO,233,3701
ODOR,271,3691
EON,266,3636
SLY,209,3624
TNT,274,3593
ETC,203,3586
TOE,229,3585
ETS,240,3583
ETAL,261,3578
SSN,152,3572
ECHO,254,3546
ORAL,280,3535
RED,225,3525
EASE,268,3521
ERS,220,3521
STAR,257,3509
RTE,249,3491
ASP,208,3473
TED,202,3470
IAN,213,3448
EPEE,273,3422
ILL,204,3389
IDA,215,3377
ITEM,228,3376
ROE,228,3370
OBOE,246,3361
ALTO,229,3361
ATM,200,3355
EROS,272,3344
IDOL,252,3325
ARES,227,3325
ION,204,3291
ERIC,217,3287
EDGE,248,3278
EYE,223,3265
AMI,252,3261
AMEN,235,3253
EVA,205,3223
AGO,216,3197
RAE,228,3196
ASEA,284,3186
ONES,237,3182
URN,206,3177
OPAL,208,3176
ONCE,262,3169
AXE,210,3153
ABE,232,3140
AAA,196,3104
IRON,239,3080
NRA,239,3076
KNEE,214,3073
DNA,199,3057
PTA,200,3047
PER,214,3030
ITS,213,3030
ETE,284,3024
RUE,172,3016
IOTA,203,3013
SIR,206,3006
RENO,198,3005
SAT,208,3001
OLD,201,2998
ARM,203,2982
ANO,173,2976
OMEN,206,2952
ACHE,231,2951
ASHE,234,2930
ERIN,241,2918
LSD,173,2913
EAST,222,2905
ADA,206,2866
TIE,222,2844
ANNE,238,2843
EKE,181,2813
ORR,213,2786
OPT,163,2768
APSE,206,2765
OTIS,208,2762
ROO,149,2754
TRI,177,2751
NERO,210,2746
SAD,191,2742
STIR,231,2735
USER,201,2735
ERAS,224,2732
ANNA,204,2719
AWE,197,2715
ETON,227,2690
ARC,219,2688
NEST,215,2685
AKA,170,2680
EDIT,237,2672
RAT,222,2667
IRIS,187,2667
ALES,202,2652
ODES,180,2651
UNO,182,2641
USA,190,2636
ALOT,221,2630
PRO,183,2625
STE,245,2618
INN,204,2607
ADAM,225,2601
YEN,161,2600
ETTA,198,2596
ALEE,261,2582
ACNE,182,2567
SOS,194,2560
ALSO,195,2558
RCA,185,2539
OVA,205,2535
ATOM,206,2520
ORES,201,2517
OMNI,166,2516
